State,County
Alabama,Colbert
Alabama,Lauderdale
Arkansas,Baxter
Arkansas,Benton
Arkansas,Boone
Arkansas,Carroll
Arkansas,Cleburne
Arkansas,Conway
Arkansas,Craighead
Arkansas,Crawford
Arkansas,Franklin
Arkansas,Independence
Arkansas,Johnson
Arkansas,Logan
Arkansas,Madison
Arkansas,Marion
Arkansas,Newton
Arkansas,Pope
Arkansas,Randolph
Arkansas,Scott
Arkansas,Searcy
Arkansas,Sebastian
Arkansas,Stone
Arkansas,Union
Arkansas,Van Buren
Arkansas,Washington
California,Inyo
California,Madera
Colorado,Adams
Colorado,Boulder
Colorado,Delta
Colorado,Douglas
Colorado,Eagle
Colorado,El Paso
Colorado,Garfield
Colorado,Grand
Colorado,Jackson
Colorado,Jefferson
Colorado,Kit Carson
Colorado,Larimer
Colorado,Logan
Colorado,Mesa
Colorado,Moffat
Colorado,Montrose
Colorado,Morgan
Colorado,Park
Colorado,Phillips
Colorado,Pueblo
Colorado,Rio Blanco
Colorado,Routt
Colorado,Sedgwick
Colorado,Summit
Colorado,Washington
Colorado,Weld
Colorado,Yuma
Florida,Holmes
Georgia,Lanier
Idaho,Adams
Idaho,Boundary
Idaho,Idaho
Illinois,Adams
Illinois,Boone
Illinois,Bureau
Illinois,Carroll
Illinois,Cook
Illinois,De Kalb
Illinois,Du Page
Illinois,Ford
Illinois,Grundy
Illinois,Jo Daviess
Illinois,Kane
Illinois,Kankakee
Illinois,Kendall
Illinois,La Salle
Illinois,Lake
Illinois,Lee
Illinois,Livingston
Illinois,Marshall
Illinois,McHenry
Illinois,Ogle
Illinois,Peoria
Illinois,Putnam
Illinois,Stephenson
Illinois,Will
Illinois,Winnebago
Indiana,Lagrange
Indiana,Posey
Iowa,Allamakee
Iowa,Appanoose
Iowa,Cedar
Iowa,Clayton
Iowa,Davis
Iowa,Decatur
Iowa,Des Moines
Iowa,Dubuque
Iowa,Fayette
Iowa,Fremont
Iowa,Greene
Iowa,Grundy
Iowa,Guthrie
Iowa,Howard
Iowa,Jackson
Iowa,Jasper
Iowa,Jones
Iowa,Lucas
Iowa,Marshall
Iowa,Monroe
Iowa,Muscatine
Iowa,Pottawattamie
Iowa,Shelby
Iowa,Story
Iowa,Tama
Iowa,Wapello
Iowa,Wayne
Iowa,Winneshiek
Iowa,Woodbury
Kansas,Barton
Kansas,Bourbon
Kansas,Butler
Kansas,Cheyenne
Kansas,Clark
Kansas,Clay
Kansas,Cowley
Kansas,Decatur
Kansas,Edwards
Kansas,Ellis
Kansas,Ellsworth
Kansas,Finney
Kansas,Ford
Kansas,Franklin
Kansas,Gove
Kansas,Graham
Kansas,Gray
Kansas,Hamilton
Kansas,Haskell
Kansas,Hodgeman
Kansas,Jackson
Kansas,Jewell
Kansas,Kearny
Kansas,Kingman
Kansas,Kiowa
Kansas,Lane
Kansas,Lincoln
Kansas,Logan
Kansas,Marshall
Kansas,McPherson
Kansas,Meade
Kansas,Mitchell
Kansas,Ness
Kansas,Norton
Kansas,Osborne
Kansas,Pawnee
Kansas,Phillips
Kansas,Pratt
Kansas,Rawlins
Kansas,Reno
Kansas,Republic
Kansas,Rice
Kansas,Riley
Kansas,Rooks
Kansas,Rush
Kansas,Russell
Kansas,Saline
Kansas,Scott
Kansas,Sedgwick
Kansas,Seward
Kansas,Shawnee
Kansas,Sheridan
Kansas,Sherman
Kansas,Smith
Kansas,Stafford
Kansas,Stevens
Kansas,Sumner
Kansas,Thomas
Kansas,Trego
